no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
11,大数据ETL工程师,兼职小行家,18-22K,3-5年,本科,上海·浦东新区·张江,"Hive,Shell,Kettle/Informatica,ETL设计/开发经验,数学/统计相关专业,大数据开发经验","['岗位职责：', '1、从事基于AWS的数据平台开发工作。', '2、负责ETL工作的开发和维护（ETL工具为Kettle）。', '要求:', '1、本科及以上学历。', '2、至少3年工作经验。', '3、熟悉Hive、SQL erver、MySQL、MongoDB等。', '4、有基于AWS的数据平台开发经验优先考虑。', '5、有shell、Kettle ETL的工作经验。', '6、对数据仓库概念有深刻理解。']",上海浦东新区张江国创中心1幢(西)二楼,https://www.zhipin.com/job_detail/e0ad9948e3be212f1HR609-_FVpY.html?lid=Jmb6qJ9UxO.search.11&securityId=ED9xrs34trw7d-f1DbR7WuB65JeCu-ZXDAESAG1fqlr0LL9TiXgW91i5_38ehlR6o-sMitmYWIKvdNL78W5A-Chvcv6s7g_alOcggxbFAonaZjzn-XU~&sessionId=
12,大数据etl工程师,雀翼科技,15-18K,3-5年,本科,上海·浦东新区·曹路,"Spark,Flink,ETL设计/开发经验","['工作描述：', '1、大数据ETL开发，包括数据采集、数据加工、质量管理、数据治理、数据资产管理等内容；', '2、高级人员要求具备建模能力；', '岗位要求：', '1、熟悉数仓方法论，有3年以上银行建模经验，精通数据模型设计、ETL设计开发；', '2、大数据hive spark必须会，了解hbase和了解底层原理的优先；', '3、必须会linux、会java或者python的优先；具备 SQL、shell语言的开发能力；', '4、具备3年以上银行业大数据开发工作经验，具备基于大数据平台CDP进行ODS、数据仓库ETL加工的能力；', '5、本科及以上学历，良好的沟通表达能力；']",上海浦东新区兴业银行(来安路)来安路500号,https://www.zhipin.com/job_detail/6ee428b68351046e1HR-3ty9GVdS.html?lid=Jmb6qJ9UxO.search.12&securityId=GL7MVZ6y1t8cl-S1wSCw1hORWAukrWzMcQY2s8tgJHCN97X9D1CyaB5kFmxas-oqNtb5tMAFo933lKlgTmITffSTJ76H9x_QlbXXZGaGUHfOn-oDcQ~~&sessionId=
13,大数据ETL工程师,盈尺网络,8-13K,1-3年,本科,上海·青浦区·虹桥枢纽周边区,"分布式技术,数据仓库,数据开发,数据分析,Java","['1.一到二年Java或Scala经验 ', '2.熟悉SQL', '3.熟悉Hadoop技术栈优先', '该中台项目经常需要在德邦物流现场办公，经常需要加班，加班费按德邦考勤计算']",上海青浦区德邦物流316,https://www.zhipin.com/job_detail/dcd6c0b6e931311e1nR_29S4GVdX.html?lid=Jmb6qJ9UxO.search.13&securityId=tD8l2LSfdDtZR-R1oMxpLh83bTYjAhJlPi6TIyoq0OpFiMyF305eKbweJxUdrvr4WQX_sTHiywThXPsBXy7mGi1uk4J6UvuWSfbzkkOenlojwps~&sessionId=
14,大数据ETL工程师,上海超硅半导体,15-20K·13薪,经验不限,本科,上海·松江区·小昆山,SAP,"['职责描述：', '1、将SAP系统数据（PP,FICO,SD等模块）与数据仓库制造业务集成。', '2、完成相关主题数据清洗，数据统计，多维分析，图表展示。', '3、协助生产完成生产日报，周报，月报，季报，年报等常规报告及良率报告。', '4、数据需求沟通等常规工作。', '任职要求：', '1、精通SAP数据分析（必须）,具备半导体/电子行业经验尤佳。', '2、熟悉数据仓库技术,如关系型数据库DB2,Oracle,或分布式数仓Hadoop产品族,扎实的SQL基础。', '3、精通任意一种ETL工具,如DataStage,Informatica,Kettle,或有自研ETL平台经验。', '4、精通任意一种ETL调度工具,或有自研ETL平台经验。']",上海松江区上海超硅半导体有限公司150弄1-15号,https://www.zhipin.com/job_detail/09080df0fca8c1da1Xx83di_FlFZ.html?lid=Jmb6qJ9UxO.search.14&securityId=UvXGhupD4MAAP-g1UbXTyUPn8Qi-9KisAG5pAIwgUPmFso_MCcG2G48CwFJUSpobjp3yufTF7n1x24Bo7dICeu2ronJnt9RbyagIznNKN-JAaLSoQra0&sessionId=
15,大数据etl工程师,趣纬信息,20-25K,5-10年,学历不限,上海·浦东新区·陆家嘴,"Hive,Kettle/Informatica,ETL设计/开发经验,大数据开发经验","['Responsibilities:', '1.Working as AWS based data platform development.', '2. Responsible for ETL(Kettle)job development and maintenance.Requirements:', ""1. Bachelor's degree and above in computer science and related fields."", '2.At least 5 years Working experience.', '3 Solid knowledge on SQL language and database(Hive,SQL Server,MySQL,MongoDB,ES).', '4. AWS based data platform development experience is a plus.', '5 Experience of Kettle ETL,Shell', '6.Strong understanding of data warehousing concepts (fact, dimension, data model, star schema etc,).', '7. Team player and good personal skil.', '8Self-motivated and proactive working attitude.']",上海浦东新区保时捷大厦3楼,https://www.zhipin.com/job_detail/a86827892f7414f21HR_2dW9E1pT.html?lid=Jmb6qJ9UxO.search.15&securityId=oHZZNZv1vy7k2-61p8J9rbPi0-fYvqBK3I8DKuFpbgCBcHkhxkDJEgtZp6krCyk0R3Kr5AG_qQ5Exe7SCNALxBH3QU2DP0z22Rt5gDShzWRSe90KtQ~~&sessionId=
16,大数据开发工程师（Spark）,甜橙金融,25-35K,3-5年,本科,上海·虹口区·四川北路,"Java,Spark,Hive,计算机相关专业,大数据开发经验","['岗位职责：', '参与大数据基础平台开发、测试、调优及维护工作', '对核心ETL作业优化保障数据平台服务的稳定性和可用性', '参与大数据组件Spark/Hive的组件二次开发和维护工作。', '任职要求：', '本科及以上学历，计算机相关专业优先，Java3年以上开发经验；', '对技术有追求，能够刨根问底的搞定技术问题。', '精通Spark等开源项目的优化，有patch源码经验者优先。', '有丰富的海量数据ETL作业优化的经验。', '能以结果为导向,承受压力并达成目标，有良好的沟通、语言表达能力，有协调能力；', '加分项：有开源大数据产品或OLAP相关使用经验，如Hadoop、SparkSql、Hive、airflow等；']",上海虹口区华虹国际大厦上海市虹口区塘沽路463号5楼,https://www.zhipin.com/job_detail/b72a564ec7a8bf421Xdz0t6-FVNQ.html?lid=Jmb6qJ9UxO.search.16&securityId=t6n9fp3S39XtG-k1djJEGgBylcDyQBWR3gBapWCuQR5jbh28MXK7koGjouEiug2vCLLLewMeef4MnVS7LLo-rKBvgJQrCCR-DM0s8h-LD_4W58w~&sessionId=
17,大数据ETL研发工程师,盛大天地,15-30K·14薪,3-5年,本科,上海·浦东新区·张江,"Kettle,Spark,Hadoop,HDFS,Flink",,,https://www.zhipin.com/job_detail/057d3ae8020f44af1XRz2ti8FVdT.html?lid=Jmb6qJ9UxO.search.17&securityId=76h5dDAeXmOLf-S1tNJ4PmSDEzzc57_HsvGKFAmclzYu3GPu2dO98qJ9n0-FxnzwijcqvQ3zKzCMk69NbomMeH7eQoiSEtKSS07TPOZdG2yPsQaL&sessionId=
18,大数据etl工程师,上海枭数科技,10-15K,1-3年,大专,上海·青浦区·徐泾,"Kettle/Informatica,数学/统计相关专业,计算机相关专业,ETL设计/开发经验",,,https://www.zhipin.com/job_detail/de87366108082a001X190961FltT.html?lid=Jmb6qJ9UxO.search.18&securityId=QZaLUv0F3GMON-_1I1V_SLx6SmoonCX-PbIqQ9UTmBBiL55gD6z2PB3SbxuMrYEDkLWMuWg8weE-bVd7f0kTTTD-Ha-XpljfYppqeD5n9fWSVZ6pr8k~&sessionId=
19,ETL大数据工程师,哈步数据,11-20K,3-5年,本科,上海·徐汇区·上海南站,"ETL,数据处理,Spark",,,https://www.zhipin.com/job_detail/dcf6fbbb4f20bb021Hd62NW7E1U~.html?lid=Jmb6qJ9UxO.search.19&securityId=fHcJrF1HRqHb0-I1RosH-BC1HXfxc5t8lNalgpGuv3Jp1Hl11PhHv02OnWRpi7o0EDoCWEy0ZhjjrxeqPAcEEKrxEa-Lld8ASRleAo0AVYSUHNk~&sessionId=
20,大数据etl工程师,中科软,11-20K,3-5年,本科,上海·浦东新区·金桥,"Hive,Java,MySQL/Oracle/DB2,计算机相关专业,ETL设计/开发经验,大数据开发经验",,,https://www.zhipin.com/job_detail/83282fae0ec5352e1HR929y5EVVW.html?lid=Jmb6qJ9UxO.search.20&securityId=5awftgARyAccQ-z1euflybFSCh6mrxrmMpZm6IGlg4xdl57VRD0cl-rOptV_YmYxjQxyPRSEvd3nzvwgNuw7H9P7c1Az_XjppRjM7CHN2ng13Ao~&sessionId=
21,大数据ETL开发工程师,嗨普智能,12-20K,3-5年,本科,上海·虹口区·北外滩,"Hive,Spark,Hbase,计算机相关专业,ETL设计/开发经验,大数据开发经验","['职位描述：', '配合项目团队完成数据仓库 / 数据集市的 ETL 设计开发；', '负责 ETL 的开发与优化工作，以及数据质量监控；', '根据客户的运营需求，为报表开发及业务部门提供技术支持。', '任职要求：', '本科或以上学历，计算机、数学或相关专业；1~3年的工作经验；', '有数据仓库开发、数据建模、ETL开发经验；', '精通 SQL ，对 Hive 查询优化有丰富的经验；', '了解 Sqoop，Azkaban，Spark 等大数据生态技术优先；', '有linux平台经验，熟悉 Shell 命令；', '有较强的性能优化及问题排查、解决能力；对开源技术非常感兴趣并具有一定的研究能力；', '有强烈的责任心、良好的沟通协调能力、团队合作精神、优秀的执行能力；', '良好的语言沟通与表达能力和自我驱动动力，具备较强的逻辑思维能力，能承受工作压力；']",上海虹口区北外滩来福士办公楼-西塔32F,https://www.zhipin.com/job_detail/e0870e31cc677fd61XF_0tu6ElZX.html?lid=Jmb6qJ9UxO.search.21&securityId=lD9YSxcG29b0t-P17QoAkARTw8LnHKqahKdecdi7JhWf_O-NoPhjEIyLhyIEgnNH2AxIbBpP9QU_V45DC8mngruiwYexI95VArgSVJQkd6Fh4mSnl1k~&sessionId=
22,大数据etl开发工程师,拼多多,30-60K·16薪,经验不限,本科,上海·长宁区·娄山关路,"Java,大数据开发经验,Kettle/Informatica,Flink,ETL设计/开发经验","['岗位职责', '1.负责大数据ETL产品/工具相关系统架构、规划、设计、开发', '2.负责基于企业级数据仓库构建的大数据应用的后端设计和开发，参与需求分析，系统分析及详细设计', '3.负责重点项目的设计方案评审与技术支持，以及技术难点攻关', '任职要求', '1.硕士1年以上（本科3年以上）Java语言编程经验，Java基础扎实，理解io、多线程、集合等基础知识，对JVM原理有一定的了解', '2.有Java服务端开发经验，熟练掌握 Spring、Mybatis等主流的开发框架', '3.对Mysql等主流数据库技术有深入理解，对sql优化有一定的经验', '4.有ETL系统、元数据管理系统、数据质量监控系统，数据运维系统相关开发经验', '5.熟悉大数据生态，有Hadoop生态圈相关开发经验更佳']",上海长宁区金虹桥国际中心北楼,https://www.zhipin.com/job_detail/1d18223878056eee1HR70tu-GVZR.html?lid=Jmb6qJ9UxO.search.22&securityId=tr08lSCZ6fzRI-U1smTIqsOpvv4zxbtfzZ0JtKaxCwo_YD783B9MamtKa23BDhxqP_OhheQvtYqycxPd6BnaUvnbe95kb4XmytvZ-DgXx4E2tPuFsw~~&sessionId=
23,大数据etl开发工程师,Wargaming,25-30K,3-5年,本科,上海·长宁区·中山公园,"MySQL/Oracle/DB2,Python,Tableau/Power BI,ETL设计/开发经验",,,https://www.zhipin.com/job_detail/43ca4898595f94f81X1y0tu4FldQ.html?lid=Jmb6qJ9UxO.search.23&securityId=YsEoIlrIsGU1X-X163MCImpo1iqON1urZB-b2ltHoLtPUB07pRMwQu5TX99ZVyLvVuWcIr3qF-x1MLotfNCTbuDQAVPh9Vp-h7hOrudqlH4QmKtG7UE~&sessionId=
24,大数据,鸿毛壹,15-20K,1-3年,本科,上海·普陀区·长寿路,"分布式技术,Spark,数据开发,数据架构师,Scala,Kafka,Hbase,Streaming",['中台，spark，hadoop ，sparkstreaming，scala，q'],上海普陀区189弄购物中心一口,https://www.zhipin.com/job_detail/10d0c29dfd422c7c1nVz3d-0EVFQ.html?lid=Jmb6qJ9UxO.search.24&securityId=noa5ZGajEnueE-I1ygOzojfc85aS_RyUgs-MAMCA-OwN9_L8RqlV2cjAxNl2HsulNJ45ZDPt7w6rlY1KOD0kp-ZyNq6vdpbFbmGmSqHo9AzPRc5l8HY~&sessionId=
25,大数据,饿了么,30-50K·16薪,5-10年,本科,上海·普陀区·长征,"Java,Spark,Flink,Hadoop","['1. 岗位职责：1、负责本地生活用户体验（包括但不限于客诉、反馈、调研、舆情）的各项数据建设 2、利用阿里本地生活业务数据，围绕公司重要战役，分析体验问题导致的用户流失情况，聚焦敲定核心问题点 3、结合本地生活业务及客诉数据对核心问题进行影响分析，定期产出价值报告 4、针对本地生活核心体验问题与公司重要战役负责人构建闭环，并对过程及效果复盘', '2. 岗位要求：1、熟悉计算机相关背景知识，精通数据结构/算法设计，熟悉操作系统，网络编程 2、熟悉数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际业务场景； 3、具备较强的编码能力，对hadoop生态的大数据基础设施有较强理解，包括但不限于hive/spark/flink/kafka等； 4、丰富的海量数据处理系统经验，参与或是负责过大规模数据处理系统的开发工作, 有用户体验分析背景优先 5、具有优秀的逻辑思维能力、很强的数据分析和解决问题能力、较强的产品意识；能够理解BI和AI的常规操作和需求 6、有工程能力或算法能力更佳']",上海普陀区阿里本地生活·近铁北区4楼,https://www.zhipin.com/job_detail/ab290b615efd10c81XF40ti1EFdZ.html?lid=Jmb6qJ9UxO.search.25&securityId=rssvknkYk7Rqg-51yIoZgCdBUfrqVkoqCLSl7d3fTX18C9KklecRsSwbFQL76L1H-VfKvYHhq5JW3CFDzRzlcKptOJUXyhCGHXofP_yl3idJSg~~&sessionId=
26,大数据,久旭塑料包装,20-30K,经验不限,学历不限,上海·浦东新区·张江,"Java,用户画像",,,https://www.zhipin.com/job_detail/19e59091bbf65e861nV72dS8FFtT.html?lid=Jmb6qJ9UxO.search.26&securityId=Rl6yBQydzPyLG-p1JuTjdIEtJTFLC4bpuTzRwv1LtdisaF9bA4dcYCrri5_IsHUNImR6bN7YyburNMzCzyhjuMuVUA2xMUybe3CJckFlgPG1HFy6gA~~&sessionId=
